nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0021610,Julie Allred,1954,2011,"actress,soundtrack",tt0056687
nm0021611,Kelby Allred,\N,\N,actress,tt0115582
nm0021612,Kellie Allred,\N,\N,"producer,miscellaneous,director","tt0318220,tt0940245,tt0290741,tt2822684"
nm0021613,Laura Allred,\N,\N,"producer,visual_effects,art_department","tt0148120,tt0118842,tt0221197,tt0115582"
nm0021614,M.D. Allred,\N,\N,editor,tt0115582
nm0021615,Mike Allred,\N,\N,"writer,actor,art_department","tt0118842,tt0115582,tt6521876,tt0133751"
nm0021616,Nancy Allred,\N,\N,producer,tt0221621
nm0021617,Owen Allred,1914,2005,,tt0187266
nm0021618,Randy Allred,\N,\N,"cinematographer,editor,producer","tt0276806,tt0320354,tt0299567,tt0297737"
nm0021619,Sammy Allred,1934,2018,actor,"tt0103263,tt0088153,tt0211362,tt0090589"
nm0021620,Tyre Alls,\N,\N,actress,tt0265629
nm0021621,David Allsberry,1964,\N,"miscellaneous,actor","tt1483013,tt3045616,tt0209958,tt2975578"
nm0021622,Reagan Allsbrook,\N,\N,actor,"tt0277696,tt0347323"
nm0021623,Lorenz Allacher,\N,\N,actor,tt0119510
nm0021624,Steve Allsep,\N,\N,miscellaneous,tt0072209
nm0021625,David Allshorn,\N,\N,actor,"tt0084408,tt0129707,tt0071211,tt0077064"
nm0021626,Dave Allsop,\N,\N,"art_department,executive",tt0240726
nm0021627,Jane Allsop,1975,\N,actress,"tt1587000,tt7420456,tt0108709,tt1823011"
nm0021628,Jim Allsop,\N,\N,visual_effects,tt0080736
nm0021629,Paul Allsop,\N,\N,actor,tt0025760
nm0021630,Ross Allsop,\N,\N,"producer,production_manager,assistant_director","tt1258216,tt2375720,tt3444278,tt7242816"
nm0021631,Bryan Allsopp,\N,\N,transportation_department,tt0169272
nm0021632,Christine Allsopp,1960,\N,"make_up_department,actress","tt3814808,tt0102798,tt1074638,tt0093058"
nm0021633,John Allsopp,1968,\N,actor,"tt0112022,tt0106057,tt0284718,tt0319969"
nm0021634,F. Allstadt,\N,\N,production_designer,tt0031672
nm0021635,John Allstadt,\N,\N,"art_department,production_designer,set_decorator","tt0032436,tt0031540,tt0032582,tt0031697"
nm0021636,David Allstone,\N,\N,,\N
nm0021637,Dawne Allstrom,\N,\N,miscellaneous,"tt0071275,tt9034532,tt0083284,tt0085248"
nm0021638,Jennifer Allswang,\N,\N,actress,tt0093748
nm0021639,Allan Alper,\N,\N,"composer,music_department","tt0177530,tt0070752,tt0067988,tt0371743"
nm0021640,Jean-Claude Allu,\N,\N,art_department,tt0174398
nm0021641,Bernard Allum,\N,\N,"miscellaneous,art_department","tt0240285,tt0094412,tt0066721,tt0088846"
nm0021642,Dave Allum,\N,\N,"special_effects,visual_effects,art_department","tt0381061,tt0119081,tt2527336,tt0246460"
nm0021643,Emma Allum,\N,\N,actress,tt0077042
nm0021644,Eric Allum,\N,\N,actor,tt0074462
nm0021645,Kerstii Allum,\N,\N,actress,tt0074462
nm0021646,Victoria Allum,\N,\N,actress,"tt0076670,tt0075476,tt1773059"
nm0021647,Jeffrey Allums,\N,\N,actor,tt0109828
nm0021648,William Alluns Jr.,\N,\N,,\N
nm0021649,Sherry Allurd,\N,\N,actress,tt0084088
nm0021650,Alyssa Allure,1972,\N,actress,"tt1147652,tt0389356,tt6670436,tt0161101"
nm0021651,Tamisha Allure,\N,\N,actress,"tt0123495,tt0182939,tt0125362"
