MovieID,budget,company,companyID,country,director,genre,gross,Movie,rating,Released Date,runtime,score,Actor,votes,writer,year
OculusKaren Gillan2013,5000000,Relativity Media,Relativity MediaUSA,USA,Mike Flanagan,Horror,27695246,Oculus,R,4/11/2014,104,6.5,Karen Gillan,95687,Mike Flanagan,2013
Pain & GainMark Wahlberg2013,26000000,Paramount Pictures,Paramount PicturesUSA,USA,Michael Bay,Action,49875291,Pain & Gain,R,4/26/2013,129,6.5,Mark Wahlberg,172482,Christopher Markus,2013
StokerMia Wasikowska2013,12000000,Fox Searchlight Pictures,Fox Searchlight PicturesUK,UK,Chan-wook Park,Drama,1702277,Stoker,R,4/5/2013,99,6.8,Mia Wasikowska,90922,Wentworth Miller,2013
The CroodsNicolas Cage2013,135000000,DreamWorks Animation,DreamWorks AnimationUSA,USA,Kirk De Micco,Animation,187168425,The Croods,PG,3/22/2013,98,7.2,Nicolas Cage,163313,Chris Sanders,2013
The Last StandArnold Schwarzenegger2013,45000000,Di Bonaventura Pictures,Di Bonaventura PicturesUSA,USA,Jee-woon Kim,Action,12050299,The Last Stand,R,1/18/2013,107,6.4,Arnold Schwarzenegger,120452,Andrew Knauer,2013
CoherenceEmily Baldoni2013,50000,Bellanova Films,Bellanova FilmsUSA,USA,James Ward Byrkit,Mystery,68877,Coherence,NOT RATED,8/6/2014,89,7.2,Emily Baldoni,71677,James Ward Byrkit,2013
The WolverineHugh Jackman2013,120000000,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film CorporationUSA,USA,James Mangold,Action,132556852,The Wolverine,PG-13,7/26/2013,126,6.7,Hugh Jackman,364907,Mark Bomback,2013
Warm BodiesNicholas Hoult2013,35000000,Summit Entertainment,Summit EntertainmentUSA,USA,Jonathan Levine,Comedy,66380662,Warm Bodies,PG-13,2/1/2013,98,6.9,Nicholas Hoult,196631,Jonathan Levine,2013
Texas Chainsaw 3DAlexandra Daddario2013,20000000,Lionsgate,LionsgateUSA,USA,John Luessenhop,Horror,34341945,Texas Chainsaw 3D,R,1/4/2013,92,4.8,Alexandra Daddario,38083,Adam Marcus,2013
Captain PhillipsTom Hanks2013,55000000,Scott Rudin Productions,Scott Rudin ProductionsUSA,USA,Paul Greengrass,Biography,107100855,Captain Phillips,PG-13,10/11/2013,134,7.8,Tom Hanks,354410,Billy Ray,2013
The Spectacular NowMiles Teller2013,2500000,Andrew Lauren Productions (ALP),Andrew Lauren Productions (ALP)USA,USA,James Ponsoldt,Comedy,6851969,The Spectacular Now,R,9/13/2013,95,7.1,Miles Teller,119642,Scott Neustadter,2013
The Hangover Part IIIBradley Cooper2013,103000000,Green Hat Films,Green Hat FilmsUSA,USA,Todd Phillips,Comedy,112200072,The Hangover Part III,R,5/23/2013,100,5.9,Bradley Cooper,245488,Todd Phillips,2013
The InternshipVince Vaughn2013,58000000,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film CorporationUSA,USA,Shawn Levy,Comedy,44672764,The Internship,PG-13,6/7/2013,119,6.3,Vince Vaughn,169189,Vince Vaughn,2013
HornsDaniel Radcliffe2013,0,Red Granite Pictures,Red Granite PicturesUSA,USA,Alexandre Aja,Drama,164480,Horns,R,10/3/2014,120,6.5,Daniel Radcliffe,63156,Keith Bunin,2013
The Lone RangerJohnny Depp2013,215000000,Walt Disney Pictures,Walt Disney PicturesUSA,USA,Gore Verbinski,Action,89302115,The Lone Ranger,PG-13,7/3/2013,150,6.5,Johnny Depp,194951,Justin Haythe,2013
