nconst,primaryName,primaryProfession,tconst
nm0000413,Janeane Garofalo,writer,tt0243655
nm0000413,Janeane Garofalo,writer,tt0132347
nm0000416,Terry Gilliam,writer,tt0088846
nm0000416,Terry Gilliam,writer,tt1054606
nm0000416,Terry Gilliam,writer,tt0081633
nm0000421,Cuba Gooding Jr.,writer,tt0203019
nm0000421,Cuba Gooding Jr.,writer,tt0116695
nm0000421,Cuba Gooding Jr.,writer,tt0101507
nm0000425,Peter Greenaway,writer,tt0092929
nm0000425,Peter Greenaway,writer,tt0097108
nm0000427,Pam Grier,writer,tt0228333
nm0000427,Pam Grier,writer,tt0119396
nm0000431,Taylor Hackford,writer,tt0084434
nm0000431,Taylor Hackford,writer,tt0109642
nm0000431,Taylor Hackford,writer,tt0350258
nm0000436,Curtis Hanson,writer,tt0104389
nm0000436,Curtis Hanson,writer,tt0388125
nm0000436,Curtis Hanson,writer,tt0298203
nm0000436,Curtis Hanson,writer,tt0119488
nm0000454,Dennis Hopper,writer,tt0111257
nm0000454,Dennis Hopper,writer,tt0090756
nm0000454,Dennis Hopper,writer,tt0114898
nm0000461,Michael Ironside,writer,tt0092099
nm0000461,Michael Ironside,writer,tt0120201
nm0000461,Michael Ironside,writer,tt0100802
nm0000461,Michael Ironside,writer,tt0081455
nm0000463,Famke Janssen,writer,tt0120903
nm0000463,Famke Janssen,writer,tt0376994
nm0000463,Famke Janssen,writer,tt0185371
nm0000463,Famke Janssen,writer,tt0113189
nm0000464,Jim Jarmusch,writer,tt1714915
nm0000464,Jim Jarmusch,writer,tt0412019
nm0000464,Jim Jarmusch,writer,tt5247022
nm0000464,Jim Jarmusch,writer,tt0088184
nm0000465,Ron Jeremy,writer,tt0120577
nm0000465,Ron Jeremy,writer,tt0124819
nm0000465,Ron Jeremy,writer,tt0144117
nm0000465,Ron Jeremy,writer,tt0165710
nm0000466,Jean-Pierre Jeunet,writer,tt0344510
nm0000466,Jean-Pierre Jeunet,writer,tt0101700
nm0000466,Jean-Pierre Jeunet,writer,tt0211915
nm0000479,Walter Koenig,writer,tt0084726
nm0000479,Walter Koenig,writer,tt0102975
nm0000479,Walter Koenig,writer,tt0092007
nm0000481,Alice Krige,writer,tt0384537
nm0000481,Alice Krige,writer,tt9086228
nm0000481,Alice Krige,writer,tt0105428
nm0000481,Alice Krige,writer,tt0117731
nm0000483,Christopher Lambert,writer,tt0120604
nm0000483,Christopher Lambert,writer,tt0113855
nm0000483,Christopher Lambert,writer,tt0091203
nm0000487,Ang Lee,writer,tt0454876
nm0000487,Ang Lee,writer,tt0190332
nm0000487,Ang Lee,writer,tt0808357
nm0000487,Ang Lee,writer,tt0107156
nm0000490,Spike Lee,writer,tt0091939
nm0000490,Spike Lee,writer,tt0097216
nm0000490,Spike Lee,writer,tt0102175
nm0000490,Spike Lee,writer,tt0104797
nm0000491,John Leguizamo,writer,tt0162677
nm0000491,John Leguizamo,writer,tt0120177
nm0000491,John Leguizamo,writer,tt0117509
nm0000491,John Leguizamo,writer,tt0203009
nm0000499,Bai Ling,writer,tt0109506
nm0000499,Bai Ling,writer,tt0119994
nm0000499,Bai Ling,writer,tt0405336
nm0000499,Bai Ling,writer,tt1121931
nm0000500,Richard Linklater,writer,tt2209418
nm0000500,Richard Linklater,writer,tt0405296
nm0000500,Richard Linklater,writer,tt1065073
nm0000500,Richard Linklater,writer,tt0243017
