nconst,primaryName,primaryProfession,tconst
nm0000465,Ron Jeremy,director,tt0165710
nm0000466,Jean-Pierre Jeunet,director,tt0344510
nm0000466,Jean-Pierre Jeunet,director,tt0101700
nm0000466,Jean-Pierre Jeunet,director,tt0211915
nm0000468,Lynn-Holly Johnson,director,tt0088395
nm0000468,Lynn-Holly Johnson,director,tt0081738
nm0000468,Lynn-Holly Johnson,director,tt0082398
nm0000473,Diane Keaton,director,tt0337741
nm0000473,Diane Keaton,director,tt0082979
nm0000473,Diane Keaton,director,tt0356680
nm0000482,Sylvia Kristel,director,tt0081249
nm0000484,John Landis,director,tt0080455
nm0000484,John Landis,director,tt0118747
nm0000484,John Landis,director,tt0086491
nm0000487,Ang Lee,director,tt0454876
nm0000487,Ang Lee,director,tt0190332
nm0000487,Ang Lee,director,tt0808357
nm0000487,Ang Lee,director,tt0107156
nm0000490,Spike Lee,director,tt0091939
nm0000490,Spike Lee,director,tt0097216
nm0000490,Spike Lee,director,tt0102175
nm0000490,Spike Lee,director,tt0104797
nm0000496,Juliette Lewis,director,tt1322269
nm0000496,Juliette Lewis,director,tt0116367
nm0000496,Juliette Lewis,director,tt0101540
nm0000496,Juliette Lewis,director,tt0110632
nm0000500,Richard Linklater,director,tt2209418
nm0000500,Richard Linklater,director,tt0405296
nm0000500,Richard Linklater,director,tt1065073
nm0000500,Richard Linklater,director,tt0243017
nm0000513,William H. Macy,director,tt0116282
nm0000513,William H. Macy,director,tt0118749
nm0000513,William H. Macy,director,tt0175880
nm0000517,Terrence Malick,director,tt0478304
nm0000519,David Mamet,director,tt0093223
nm0000519,David Mamet,director,tt0104348
nm0000519,David Mamet,director,tt0120202
nm0000519,David Mamet,director,tt0120885
nm0000520,Michael Mann,director,tt0369339
nm0000520,Michael Mann,director,tt0083190
nm0000520,Michael Mann,director,tt0104691
nm0000520,Michael Mann,director,tt0140352
nm0000521,Sophie Marceau,director,tt0143145
nm0000521,Sophie Marceau,director,tt0112573
nm0000524,Mary Stuart Masterson,director,tt0101921
nm0000524,Mary Stuart Masterson,director,tt0094006
nm0000524,Mary Stuart Masterson,director,tt0106387
nm0000525,Heather Matarazzo,director,tt0498353
nm0000525,Heather Matarazzo,director,tt0118971
nm0000525,Heather Matarazzo,director,tt0114906
nm0000525,Heather Matarazzo,director,tt0247638
nm0000530,Andrew McCarthy,director,tt0098627
nm0000530,Andrew McCarthy,director,tt0091790
nm0000536,Robert Duncan McNeill,director,tt0093507
nm0000545,Helen Mirren,director,tt0975645
nm0000545,Helen Mirren,director,tt0280707
nm0000545,Helen Mirren,director,tt1245526
nm0000546,Matthew Modine,director,tt0112760
nm0000546,Matthew Modine,director,tt1345836
nm0000546,Matthew Modine,director,tt0093058
nm0000546,Matthew Modine,director,tt2932536
nm0000554,Sam Neill,director,tt4698684
nm0000554,Sam Neill,director,tt0163025
nm0000554,Sam Neill,director,tt0107290
nm0000554,Sam Neill,director,tt0104850
nm0000559,Leonard Nimoy,director,tt0088170
nm0000559,Leonard Nimoy,director,tt0796366
nm0000559,Leonard Nimoy,director,tt0102975
nm0000559,Leonard Nimoy,director,tt0092007
nm0000563,Chris O'Donnell,director,tt0105323
nm0000563,Chris O'Donnell,director,tt0118688
nm0000563,Chris O'Donnell,director,tt0108333
nm0000563,Chris O'Donnell,director,tt0190865
nm0000570,Alan Parker,director,tt0116250
nm0000570,Alan Parker,director,tt0095647
nm0000570,Alan Parker,director,tt0092563
nm0000576,Sean Penn,director,tt0315733
nm0000576,Sean Penn,director,tt0327056
nm0000583,Wolfgang Petersen,director,tt0088323
nm0000583,Wolfgang Petersen,director,tt0089092
nm0000583,Wolfgang Petersen,director,tt0114069
nm0000591,Roman Polanski,director,tt1139328
nm0000597,Bill Pullman,director,tt1628841
nm0000597,Bill Pullman,director,tt0116922
nm0000597,Bill Pullman,director,tt0094012
nm0000599,Kathleen Quinlan,director,tt0112384
nm0000599,Kathleen Quinlan,director,tt0101761
nm0000599,Kathleen Quinlan,director,tt0120633
nm0000599,Kathleen Quinlan,director,tt0118771
nm0000602,Robert Redford,director,tt0087781
nm0000602,Robert Redford,director,tt0081283
nm0000608,Burt Reynolds,director,tt0082136
nm0000608,Burt Reynolds,director,tt0117765
nm0000608,Burt Reynolds,director,tt0118749
nm0000618,Isabella Rossellini,director,tt0104070
