tconst,titleType,primaryTitle,startYear,averageRating,genres
tt0082748,movie,Pieces,1982,6.0,"Horror,Mystery,Thriller"
tt0082763,movie,Modern Problems,1981,5.0,"Comedy,Fantasy,Sci-Fi"
tt0082764,movie,Modern Romance,1981,7.0,"Comedy,Romance"
tt0082766,movie,Mommie Dearest,1981,6.6,"Biography,Drama"
tt0082782,movie,My Bloody Valentine,1981,6.2,"Horror,Mystery,Thriller"
tt0082783,movie,My Dinner with Andre,1981,7.7,"Comedy,Drama"
tt0082790,movie,After Midnight,1981,6.1,Drama
tt0082801,movie,Neighbors,1981,5.5,Comedy
tt0082810,movie,Night Crossing,1982,6.5,"Drama,Family,History"
tt0082812,movie,Night School,1981,5.6,"Horror,Mystery,Thriller"
tt0082816,movie,The Night the Lights Went Out in Georgia,1981,5.9,"Drama,Music"
tt0082817,movie,Nighthawks,1981,6.3,"Action,Crime,Thriller"
tt0082824,movie,Nothing to Hide,1981,6.0,"Adult,Comedy,Drama"
tt0082846,movie,On Golden Pond,1981,7.6,Drama
tt0082853,movie,Only When I Laugh,1981,6.4,"Comedy,Drama"
tt0082869,movie,Outland,1981,6.6,"Action,Crime,Sci-Fi"
tt0082871,movie,Outside In,1981,6.8,Documentary
tt0082874,movie,La pachanga,1981,7.3,"Comedy,Drama"
tt0082886,movie,Paternity,1981,4.9,"Comedy,Romance"
tt0082894,movie,Pennies from Heaven,1981,6.5,"Drama,Musical,Romance"
tt0082898,movie,The Personals,1982,6.8,"Comedy,Drama,Romance"
tt0082927,movie,Le Pont du Nord,1981,6.8,"Adventure,Crime,Drama"
tt0082933,movie,Possession,1981,7.3,"Drama,Horror"
tt0082934,movie,The Postman Always Rings Twice,1981,6.6,"Crime,Drama,Romance"
tt0082945,movie,Prince of the City,1981,7.4,"Crime,Drama"
tt0082947,movie,Prisoners,1983,5.0,Drama
tt0082948,movie,Private Lessons,1981,5.1,Comedy
tt0082956,movie,Puberty Blues,1981,5.9,"Comedy,Drama"
tt0082958,movie,The Pursuit of D.B. Cooper,1981,5.5,"Adventure,Crime,Drama"
tt0082964,movie,Quartet,1981,6.2,"Drama,Romance"
tt0082969,movie,Raggedy Man,1981,6.7,Drama
tt0082970,movie,Ragtime,1981,7.3,Drama
tt0082979,movie,Reds,1981,7.3,"Biography,Drama,History"
tt0082992,movie,Rich and Famous,1981,5.8,Drama
tt0083006,movie,Rollover,1981,5.4,"Drama,Mystery,Romance"
tt0083015,movie,S.O.B.,1981,6.4,"Comedy,Drama"
tt0083052,movie,Separate Ways,1981,4.6,Drama
tt0083064,movie,Sharky's Machine,1981,6.3,"Action,Crime,Drama"
tt0083079,movie,Silence of the North,1981,6.4,Drama
tt0083081,movie,Silsila,1981,7.2,"Drama,Family,Romance"
tt0083089,movie,Do You Remember Dolly Bell?,1981,7.5,"Comedy,Drama,Romance"
tt0083102,movie,Sweet Dreams,1981,6.9,"Comedy,Drama"
tt0083107,movie,Some Kind of Hero,1982,5.8,"Crime,Drama,War"
tt0083111,movie,Southern Comfort,1981,7.1,"Action,Thriller"
tt0083113,movie,Sphinx,1981,5.1,"Adventure,Mystery,Thriller"
tt0083131,movie,Stripes,1981,6.8,"Comedy,War"
tt0083133,movie,Student Bodies,1981,5.4,"Comedy,Horror,Mystery"
tt0083146,movie,Sweet Sixteen,1983,5.1,"Crime,Horror,Mystery"
tt0083151,movie,The Outsider,1981,6.5,Drama
tt0083163,movie,Take This Job and Shove It,1981,4.9,Comedy
tt0083169,movie,Taps,1981,6.8,Drama
tt0083170,movie,Tarzan the Ape Man,1981,3.4,"Adventure,Drama"
tt0083190,movie,Thief,1981,7.4,"Action,Crime,Drama"
tt0083197,movie,Threshold,1981,6.0,"Drama,Sci-Fi"
tt0083232,movie,True Confessions,1981,6.3,"Crime,Drama"
tt0083254,movie,Under the Rainbow,1981,5.3,Comedy
tt0083260,movie,Bolero,1981,7.3,"Drama,Music"
tt0083284,movie,Victory,1981,6.6,"Drama,Sport,War"
tt0083296,movie,Visiting Hours,1982,5.7,"Horror,Thriller"
tt0083307,movie,Friday,1980,6.1,Drama
tt0083326,movie,Whose Life Is It Anyway?,1981,7.3,"Comedy,Drama"
tt0083336,movie,Wolfen,1981,6.3,"Horror,Thriller"
tt0083365,movie,Zoot Suit,1981,6.7,"Drama,Musical"
tt0083366,movie,Zorro: The Gay Blade,1981,6.2,"Action,Adventure,Comedy"
tt0083449,movie,The Missionary,1982,6.2,Comedy
